payout_date,transfer_count,unique_recipients,total_grass_transferred,avg_transfer_size,min_transfer,max_transfer
2026-05-18,1632,210,1922076.1063663897,1177.7427122343074,1e-9,608019.27656971
2026-05-17,5211,600,1094352.066473683,210.00807262976073,0,67079.265
2026-05-16,5102,553,1548962.4829278395,303.5990754464601,0,179000
2026-05-15,7028,581,2771353.36508996,394.33030237478084,0,1020605.888863631
2026-05-14,6770,719,1594688.438001904,235.55220649954268,0,115039.355
2026-05-13,8671,762,4030055.8082087087,464.7740523825059,0,394721.84
2026-05-12,9531,1017,5748199.282111577,603.1055799088844,0,720602.36
2026-05-11,8621,737,3555938.3084512595,412.4739947165363,0,132353
2026-05-10,8550,687,2931809.678973588,342.90171683901616,1e-9,153846.153846
2026-05-09,11404,826,5228795.640871787,458.50540519745596,0,786933.4789
2026-05-08,10030,769,7033599.967094991,701.2562280254228,0,252594.22
2026-05-07,12365,839,42308798.07659026,3421.6577498253346,0,16683754.275667632
2026-05-06,13816,1102,10004085.687243987,724.0942159267506,0,5000000
2026-05-05,11918,938,9384692.704919182,787.4385555394514,0,2079647
2026-04-23,19653,735,18570818.689061444,944.9355665324096,0,3630309
2026-04-22,16971,866,6774477.039772954,399.1796028385454,0,350000
2026-04-21,9738,668,3354329.874959017,344.4577813677364,0,612888
2026-04-20,8703,600,5536434.497676772,636.1524184392476,0,878182.953793241
2026-04-19,10110,636,7996263.061441272,790.926118836921,0,530000.00333289
2026-04-18,10869,584,1832353.0233335125,168.5852445794013,0,136451.8034843
2026-04-17,13745,669,4199433.240873922,305.5244264004308,0,611893.1708
2026-04-16,9823,602,2997606.2191982754,305.1619891273822,0,214831.30068685
2026-04-15,9112,570,2734151.933975498,300.0605722097781,0,227936.38259889
2026-04-14,7935,563,2495581.362148509,314.50300720208054,0,333289.05707704
2026-04-13,8316,577,3523199.9187205127,423.66521389135556,0,237393
2026-04-12,7743,480,1907146.214962869,246.30585237800193,0,85001
2026-04-11,7815,531,2570850.124299366,328.9635475750948,0,200000
2026-04-10,11514,641,5738236.953225372,498.3704145583961,0,999990
2026-04-09,8185,506,7379293.457982144,901.5630370167555,1e-9,2691666
2026-04-08,8341,513,3360917.842214432,402.93943678389064,0,1159538.58155433
2026-04-07,9882,544,3172624.9720715648,321.05089780121074,0,494178.56466704
2026-04-06,9522,531,2384373.047497935,250.40674726926434,0,344558.5586875
2026-04-05,5627,410,1340578.9965447644,238.24044722672195,1e-9,349377.68996954
2026-04-04,5161,461,901018.6348800566,174.58218075567848,0,62029.074
2026-04-03,6197,459,1545843.6777222303,249.4503272103002,1e-9,97677.08332482
2026-04-02,7134,454,1963354.7363810993,275.2109246399074,0,144364.88385
2026-04-01,8740,585,8439033.484063236,965.5644718607822,0,1690952.611486609
2026-03-31,8940,548,15363615.26798532,1718.5251977612215,0,2000000
2026-03-30,6371,549,10374460.721290078,1628.3881213765621,0,1948333.333
2026-03-29,5274,457,935029.1129438542,177.29031341370006,0,102667.54861256
2026-03-28,5560,507,7155280.55955145,1286.9209639481026,0,1080303.04
2026-03-27,6848,486,2408751.3519180515,351.74523246466873,1e-9,300000
2026-03-26,7359,572,3362521.778395129,456.9264544632598,0,300000
2026-03-25,10265,675,6754504.169085425,658.0130705392523,0,368380.80970448
2026-03-24,8327,647,7114570.6689303275,854.3978226168281,0,583518.38057204
2026-03-23,11838,673,15348538.366890267,1296.5482654916595,0,2662989.46052078
2026-03-22,17585,666,5611520.22465687,319.10834373937274,0,317219.02815703
2026-03-21,7348,503,6456844.6928135725,878.7213789893267,0,4838295.42
2026-03-20,11677,634,4040631.0348691302,346.03331633716965,0,566770.9
2026-03-19,15463,709,13469021.906041188,871.0484321309699,0,2645000
2026-03-18,11092,681,13679006.716689724,1233.2317631346668,0,927996.551171733
2026-03-17,15146,899,14510210.159787184,958.0225907689941,0,587883.321158749
2026-03-16,12735,801,6177704.764405795,485.09656571698434,0,144219.281
2026-03-15,10615,680,3656973.75442167,344.5100098371804,1e-9,144217.87131099
2026-03-14,8882,687,21603624.540335875,2432.292787698252,0,5000000
2026-03-13,12311,756,11239167.718735853,912.9370253217329,0,1000000
2026-03-12,10375,620,12095309.741220122,1165.812987105554,0,1452310
2026-03-11,10030,680,35349485.50432765,3524.3754241602837,0,4711386.212360782
2026-03-10,20170,813,259695782.58142763,12875.348665415351,0,46620000
2026-03-09,15590,813,6351464.834939538,407.4063396369171,0,283787.762087405
2026-03-08,11757,648,4345840.838680991,369.63858456077156,0,100527.1652
2026-03-07,7583,538,4738064.631089998,624.8271965040219,1e-9,900162
2026-03-06,8264,542,3092760.063364432,374.24492538291776,0,83665.51
2026-03-05,9319,624,4375927.319085445,469.5704817132144,0,1000000
2026-03-04,10097,739,6586819.323333281,652.3540975867368,0,561304
2026-03-03,18441,869,12999698.624151213,704.9345818638476,0,2272727.24
2026-03-02,23959,1051,32486257.758578833,1355.9104202420315,0,2272727.25
2026-03-01,20105,945,19144090.317571387,952.2054373325733,0,800000
2026-02-28,17753,839,15873204.85270547,894.1139442745152,0,1080303.04
2026-02-27,8794,629,7916595.670164325,900.2269354291932,0,900000
2026-02-26,16673,806,17393785.18829226,1043.2306836377534,0,4838295.42
2026-02-25,15643,729,7753649.759070813,495.6625812868895,0,463828.308825
2026-02-24,5028,518,4829267.322184854,960.4748055260251,0,570173.9567625
2026-02-23,4498,495,5170580.089390218,1149.528699286398,1e-9,1999996.77626319
2026-02-22,2991,465,732990.6578117826,245.06541551714562,0,134616.68
2026-02-21,2295,399,866481.9359046661,377.5520417885255,1e-9,36138.68
2026-02-20,4297,503,1314521.4988951108,305.91610400165484,1e-9,132743.32
2026-02-19,3554,416,4358984.437575503,1226.5009672412784,0,700000
2026-02-18,4220,457,3964170.274871229,939.3768423865472,0,700000
